name,iata,icao,callsign,country
Continental Airlines,CO,COA,CONTINENTAL,United States
Continental Micronesia,CS,CMI,AIR MIKE,United States
Conviasa,V0,VCV,CONVIASA,Venezuela
Copa Airlines,CM,CMP,COPA,Panama
Corsairfly,SS,CRL,CORSAIR,France
Corse-Mediterranee,XK,CCM,CORSICA,France
Croatia Airlines,OU,CTN,CROATIA,Croatia
Cubana de Aviación,CU,CUB,CUBANA,Cuba
Cyprus Airways,CY,CYP,CYPRUS,Cyprus
Czech Airlines,OK,CSA,CSA-LINES,Czech Republic
DAT Danish Air Transport,DX,DTR,DANISH,Denmark
Daallo Airlines,D3,DAO,DALO AIRLINES,Djibouti
Dalavia,H8,KHB,DALAVIA,Russia
Darwin Airline,0D,DWT,DARWIN,Switzerland
Delta Air Lines,DL,DAL,DELTA,United States
Djibouti Airlines,D8,DJB,DJIBOUTI AIR,Djibouti
Dominicana de Aviaci,DO,DOA,DOMINICANA,Dominican Republic
Domodedovo Airlines,E3,DMO,DOMODEDOVO,Russia
DonbassAero,5D,UDC,DONBASS AERO,Ukraine
Dragonair,KA,HDA, Hong Kong Dragon Airlines,DRAGON
Druk Air,KB,DRK,ROYAL BHUTAN,Bhutan
dba,DI,BAG,SPEEDWAY,Germany
EVA Air,BR,EVA,EVA,Taiwan
East African,QU,UGX,CRANE,Uganda
Eastern Airways,T3,EZE,EASTFLIGHT,United Kingdom
Eastland Air,DK,ELA,,Australia
Edelweiss Air,WK,EDW,EDELWEISS,Switzerland
Egyptair,MS,MSR,EGYPTAIR,Egypt
El Al Israel Airlines,LY,ELY,ELAL,Israel
El-Buraq Air Transport,UZ,BRQ,BURAQAIR,Libya
Emirates,EK,UAE,EMIRATES,United Arab Emirates
Empresa Ecuatoriana De Aviacion,EU,EEA,ECUATORIANA,Ecuador
Eritrean Airlines,B8,ERT,ERITREAN,Eritrea
Estonian Air,OV,ELL,ESTONIAN,Estonia
Ethiopian Airlines,ET,ETH,ETHIOPIAN,Ethiopia
Etihad Airways,EY,ETD,ETIHAD,United Arab Emirates
Eurocypria Airlines,UI,ECA,EUROCYPRIA,Cyprus
Eurofly Service,GJ,EEU,EUROFLY,Italy
Eurolot,K2,ELO,EUROLOT,Poland
European Air Express,EA,EAL,STAR WING,Germany
Eurowings,EW,EWG,EUROWINGS,Germany
Evergreen International Airlines,EZ,EIA,EVERGREEN,United States
Excel Airways,JN,XLA,EXPO,United Kingdom
Express One International,EO,LHN,LONGHORN,United States
ExpressJet,XE,BTA,JET LINK,United States
easyJet,U2,EZY,EASY,United Kingdom
Far Eastern Air Transport,EF,EFA,Far Eastern,Taiwan
Finnair,AY,FIN,FINNAIR,Finland
Finncomm Airlines,FC,WBA,WESTBIRD,Finland
Firefly,FY,FFM,FIREFLY,Malaysia
First Air,7F,FAB,,Canada
First Choice Airways,DP,FCA,JETSET,United Kingdom
Flightline,B5,FLT,FLIGHTLINE,United Kingdom
Florida West International Airways,RF,FWL,FLO WEST,United States
AirAsia X,D7,XAX,XANADU,Malaysia
FlyLal,TE,LIL,LITHUANIA AIR,Lithuania
FlyNordic,LF,NDC,NORDIC,Sweden
Flybaboo,F7,BBO,BABOO,Switzerland
Flybe,BE,BEE,JERSEY,United Kingdom
Flyglobespan,B4,GSM,GLOBESPAN,United Kingdom
Formosa Airlines,VY,FOS,,Taiwan
Freedom Air,FP,FRE,FREEDOM,United States
Frontier Airlines,F9,FFT,FRONTIER FLIGHT,United States
Frontier Flying Service,2F,FTA,FRONTIER-AIR,United States
GB Airways,GT,GBL,GEEBEE AIRWAYS,United Kingdom
Garuda Indonesia,GA,GIA,INDONESIA,Indonesia
Gazpromavia,4G,GZP,GAZPROMAVIA,Russia
Georgian Airways,A9,TGZ,TAMAZI,Georgia
Georgian National Airlines,QB,GFG,NATIONAL,Georgia
Germania,ST,GMI,GERMANIA,Germany
Germanwings,4U,GWI,GERMAN WINGS,Germany
Ghana International Airlines,G0,GHB,GHANA AIRLINES,Ghana
Go Air,G8,GOW,GOAIR,India
GoJet Airlines,G7,GJS,GATEWAY,United States
Gol Transportes Aéreos,G3,GLO,GOL TRANSPORTE,Brazil
Golden Air,DC,GAO,GOLDEN,Sweden
Great Lakes Airlines,ZK,GLA,LAKES AIR,United States
Grupo TACA,TA,TAT,TACA-COSTARICA,Costa Rica
Gulf Air Bahrain,GF,GBA,GULF BAHRAIN,Bahrain
Hageland Aviation Services,H6,HAG,HAGELAND,United States
Hainan Airlines,HU,CHH,HAINAN,China
Haiti Ambassador Airlines,2T,HAM,,Haiti
Hamburg International,4R,HHI,HAMBURG JET,Germany
TUIfly,X3,HLX,YELLOW CAB,Germany
Hapagfly,HF,HLF,HAPAG LLOYD,Germany
Hawaiian Airlines,HA,HAL,HAWAIIAN,United States
Heli France,8H,HFR,HELIFRANCE,France
Helijet,JB,JBA,HELIJET,Canada
Hellas Jet,T4,HEJ,HELLAS JET,Greece
Hello,HW,FHE,FLYHELLO,Switzerland
Helvetic Airways,2L,OAW,HELVETIC,Switzerland
Hex'Air,UD,HER,HEX AIRLINE,France
Hokkaido International Airlines,HD,ADO,AIR DO,Japan
Hong Kong Airlines,HX,CRK,BAUHINIA,Hong Kong SAR of China
Hong Kong Express Airways,UO,HKE,HONGKONG SHUTTLE,Hong Kong SAR of China
Horizon Air,QX,QXE,HORIZON AIR,United States
Horizon Airlines,BN,HZA,,Australia
Iberia Airlines,IB,IBE,IBERIA,Spain
Iberworld,TY,IWD,,Spain
Ibex Airlines,FW,IBX,IBEX,Japan
Icelandair,FI,ICE,ICEAIR,Iceland
Imair Airlines,IK,ITX,IMPROTEX,Azerbaijan
IndiGo Airlines,6E,IGO,IFLY,India
Indian Airlines,IC,IAC,INDAIR,India
Indigo,I9,IBU,INDIGO BLUE,United States
Indonesia AirAsia,QZ,AWQ,WAGON AIR,Indonesia
Indonesian Airlines,IO,IAA,INDO LINES,Indonesia
Interair South Africa,D6,ILN,INLINE,South Africa
Interavia Airlines,ZA,SUW,ASTAIR,Russia
Interlink Airlines,ID,ITK,INTERLINK,South Africa
Intersky,3L,ISK,INTERSKY,Austria
Iran Air,IR,IRA,IRANAIR,Iran
Iran Aseman Airlines,EP,IRC,,Iran
Iraqi Airways,IA,IAW,IRAQI,Iraq
Cargo Plus Aviation,8L,CGP,,United Arab Emirates
Islas Airways,IF,ISW,PINTADERA,Spain
Islena De Inversiones,WC,ISV,,Honduras
Israir,6H,ISR,ISRAIR,Israel
Itek Air,GI,IKA,ITEK-AIR,Kyrgyzstan
JAL Express,JC,JEX,JANEX,Japan
JALways,JO,JAZ,JALWAYS,Japan
Japan Airlines,JL,JAL,JAPANAIR,Japan
Japan Airlines Domestic,JL,JAL,J-BIRD,Japan
Japan Asia Airways,EG,JAA,ASIA,Japan
Japan Transocean Air,NU,JTA,JAI OCEAN,Japan
Jazeera Airways,J9,JZR,JAZEERA,Kuwait
Jeju Air,7C,JJA,JEJU AIR,Republic of Korea
Jet Airways,9W,JAI,JET AIRWAYS,India
Jetstar Asia Airways,3K,JSA,JETSTAR ASIA,Singapore
Jet2.com,LS,EXS,CHANNEX,United Kingdom
Jet4You,8J,JFU,ARGAN,Morocco
JetBlue Airways,B6,JBU,JETBLUE,United States
Jetairfly,JF,JAF,BEAUTY,Belgium
Jetstar Airways,JQ,JST,JETSTAR,Australia
Juneyao Airlines,HO,DKH,JUNEYAO AIRLINES,China
KD Avia,KD,KNI,KALININGRAD AIR,Russia
KLM Cityhopper,WA,KLC,CITY,Netherlands
KLM Royal Dutch Airlines,KL,KLM,KLM,Netherlands
Kam Air,RQ,KMF,KAMGAR,Afghanistan
Kavminvodyavia,KV,MVD,AIR MINVODY,Russia
Kenmore Air,M5,KEN,KENMORE,United States
Kenya Airways,KQ,KQA,KENYA,Kenya
Kingfisher Airlines,IT,KFR,KINGFISHER,India
Kish Air,Y9,IRK,KISHAIR,Iran
Kogalymavia Air Company,7K,KGL,KOGALYM,Russia
Korean Air,KE,KAL,KOREANAIR,Republic of Korea
Krasnojarsky Airlines,7B,KJC,KRASNOJARSKY AIR,Russia
Kuban Airlines,GW,KIL,AIR KUBAN,Russia
Kuwait Airways,KU,KAC,KUWAITI,Kuwait
Kuzu Airlines Cargo,GO,KZU,KUZU CARGO,Turkey
LACSA,LR,LRC,LACSA,Costa Rica
LAN Airlines,LA,LAN,LAN,Chile
LAN Argentina,4M,DSM,LAN AR,Argentina
LAN Express,LU,LXP,LANEX,Chile
LAN Peru,LP,LPE,LANPERU,Peru
LOT Polish Airlines,LO,LOT,POLLOT,Poland
LTE International Airways,XO,LTE,FUN JET,Spain
LTU Austria,L3,LTO,BILLA TRANSPORT,Austria
Lao Airlines,QV,LAO,LAO,Lao Peoples Democratic Republic
Lauda Air,NG,LDA,LAUDA AIR,Austria
Leeward Islands Air Transport,LI,LIA,LIAT,Antigua and Barbuda
Libyan Arab Airlines,LN,LAA,LIBAIR,Libya
Linhas A,LM,LAM,MOZAMBIQUE,Mozambique
Lion Mentari Airlines,JT,LNI,LION INTER,Indonesia
Luftfahrtgesellschaft Walter,HE,LGW,WALTER,Germany
Lufthansa,LH,DLH,LUFTHANSA,Germany
Lufthansa Cargo,LH,GEC,LUFTHANSA CARGO,Germany
Lufthansa CityLine,CL,CLH,HANSALINE,Germany
Lufttransport,L5,LTR,LUFT TRANSPORT,Norway
Luxair,LG,LGL,LUXAIR,Luxembourg
L,MJ,LPR,LAPA,Argentina
MasAir,M7,MAA,MAS CARGA,Mexico
MAT Macedonian Airlines,IN,MAK,MAKAVIO,Macedonia
MIAT Mongolian Airlines,OM,MGL,MONGOL AIR,Mongolia
MNG Airlines,MB,MNB,BLACK SEA,Turkey
Macair Airlines,CC,MCK,,Australia
Mahan Air,W5,IRM,MAHAN AIR,Iran
Malaysia Airlines,MH,MAS,MALAYSIAN,Malaysia
Malmö Aviation,TF,SCW,Scanwings,Sweden
Malta Air Charter,R5,MAC,MALTA CHARTER,Malta
Malév,MA,MAH,MALEV,Hungary
Mandala Airlines,RI,MDL,MANDALA,Indonesia
Mandarin Airlines,AE,MDA,Mandarin,Taiwan
Mango,JE,MNO,TULCA,South Africa
Martinair,MP,MPH,MARTINAIR,Netherlands
Maxair,8M,MXL,MAXAIR,Sweden
Maya Island Air,MW,MYD,MYLAND,Belize
Meridiana,IG,ISS,MERAIR,Italy
Merpati Nusantara Airlines,MZ,MNA,MERPATI,Indonesia
Mesa Airlines,YV,ASH,AIR SHUTTLE,United States
Mesaba Airlines,XJ,MES,MESABA,United States
Mexicana de Aviaci,MX,MXA,MEXICANA,Mexico
Middle East Airlines,ME,MEA,CEDAR JET,Lebanon
Midway Airlines,JI,MDW,MIDWAY,United States
Midwest Airlines,YX,MEP,,United States
Midwest Airlines (Egypt),MY,MWA,,Egypt
Moldavian Airlines,2M,MDV,MOLDAVIAN,Moldova
Monarch Airlines,ZB,MON,MONARCH,United Kingdom
Montenegro Airlines,YM,MGX,MONTAIR,Montenegro
Moskovia Airlines,3R,GAI,GROMOV AIRLINE,Russia
Motor Sich,M9,MSI,MOTOR SICH,Ukraine
MyTravel Airways,VZ,MYT,KESTREL,United Kingdom
Myanma Airways,UB,UBA,UNIONAIR,Myanmar
Myanmar Airways International,8M,MMM,assignment postponed,Myanmar
Nasair,UE,NAS,NASAIRWAYS,Eritrea
National Jet Systems,NC,NJS,NATIONAL JET,Australia
Nationwide Airlines,CE,NTW,NATIONWIDE,South Africa
Nauru Air Corporation,ON,RON,AIR NAURU,Nauru
Nepal Airlines,RA,RNA,ROYAL NEPAL,Nepal
NetJets,1I,EJA,EXECJET,United States
New England Airlines,EJ,NEA,NEW ENGLAND,United States
NextJet,2N,NTJ,NEXTJET,Sweden
Niki,HG,NLY,FLYNIKI,Austria
Nok Air,DD,NOK,NOK AIR,Thailand
Northwest Airlines,NW,NWA,NORTHWEST,United States
Northwestern Air,J3,PLR,POLARIS,Canada
Norwegian Air Shuttle,DY,NAX,NOR SHUTTLE,Norway
Nouvel Air Tunisie,BJ,LBT,NOUVELAIR,Tunisia
Novair,1I,NVR,NAVIGATOR,Sweden
Nas Air,XY,KNE,NAS EXPRESS,Saudi Arabia
Oasis Hong Kong Airlines,O8,OHK,OASIS,Hong Kong
Oceanair,O6,ONE,OCEANAIR,Brazil
Olympic Airlines,OA,OAL,OLYMPIC,Greece
Oman Air,WY,OMA,OMAN AIR,Oman
Omni Air International,OY,OAE,OMNI-EXPRESS,United States
Onur Air,8Q,OHY,ONUR AIR,Turkey
Orenburg Airlines,R2,ORB,ORENBURG,Russia
Orient Thai Airlines,OX,OEA,ORIENT THAI,Thailand
Origin Pacific Airways,QO,OGN,ORIGIN,New Zealand
Ostfriesische Lufttransport,OL,OLT,OLTRA,Germany
Overland Airways,OJ,OLA,OVERLAND,Nigeria
Ozjet Airlines,O7,OZJ,AUSJET,Australia
PAN Air,PV,PNR,SKYJET,Spain
PB Air,9Q,PBA,PEEBEE AIR,Thailand
PLUNA,PU,PUA,PLUNA,Uruguay
PMTair,U4,PMT,MULTITRADE,Cambodia
Jetstar Pacific,BL,PIC,PACIFIC AIRLINES,Vietnam
Pacific Coastal Airline,8P,PCO,PASCO,Canada
Pacific East Asia Cargo Airlines,Q8,PEC,PAC-EAST CARGO,Philippines
Pacific Wings,LW,NMI,TSUNAMI,United States
Pakistan International Airlines,PK,PIA,PAKISTAN,Pakistan
Paramount Airways,I7,PMW,PARAWAY,India
Pegasus Airlines,PC,PGT,SUNTURK,Turkey
Peninsula Airways,KS,PEN,PENINSULA,United States
Philippine Airlines,PR,PAL,PHILIPPINE,Philippines
Piedmont Airlines (1948-1989),PI,PDT,PIEDMONT,United States
Pinnacle Airlines,9E,FLG,FLAGSHIP,United States
Polynesian Airlines,PH,PAO,POLYNESIAN,Samoa
Porter Airlines,PD,POE,PORTER AIR,Canada
Portugalia,NI,PGA,PORTUGALIA,Portugal
Potomac Air,BK,PDC,DISTRICT,United States
Precision Air,PW,PRF,PRECISION AIR,Tanzania
Qantas,QF,QFA,QANTAS,Australia
Qatar Airways,QR,QTR,QATARI,Qatar
Regional Express,ZL,RXA,REX,Australia
Republic Airlines,RW,RPA,BRICKYARD,United States
Republic Express Airlines,RH,RPH,PUBLIC EXPRESS,Indonesia
Air Rarotonga,GZ,RAR,,Cook Islands
Royal Air Maroc,AT,RAM,ROYALAIR MAROC,Morocco
Royal Brunei Airlines,BI,RBA,BRUNEI,Brunei
Royal Jordanian,RJ,RJA,JORDANIAN,Jordan
Royal Nepal Airlines,RA,RNA,ROYAL NEPAL,Nepal
Rwandair Express,WB,RWD,RWANDAIR,Rwanda
Ryan International Airlines,RD,RYN,RYAN INTERNATIONAL,United States
Ryanair,FR,RYR,RYANAIR,Ireland
Régional,YS,RAE,REGIONAL EUROPE,France
SATA International,S4,RZO,AIR AZORES,Portugal
South African Airways,SA,SAA,SPRINGBOK,South Africa
Shaheen Air International,NL,SAI,SHAHEEN AIR,Pakistan
Scandinavian Airlines System,SK,SAS,SCANDINAVIAN,Sweden
S7 Airlines,S7,SBI,SIBERIAN AIRLINES,Russia
Seaborne Airlines,BB,SBS,SEABORNE,United States
SriLankan Airlines,UL,ALK,SRILANKAN,Sri Lanka
Sun Country Airlines,SY,SCX,SUN COUNTRY,United States
Sky Express,G3,SEH,AIR CRETE,Greece
Spicejet,SG,SEJ,SPICEJET,India
Star Flyer,7G,SFJ,STARFLYER,Japan
Skagway Air Service,N5,SGY,SKAGWAY AIR,United States
SATA Air Acores,SP,SAT,SATA,Portugal
Singapore Airlines,SQ,SIA,SINGAPORE,Singapore
Sibaviatrans,5M,SIB,SIBAVIA,Russia
Skynet Airlines,SI,SIH,BLUEJET,Ireland
Sriwijaya Air,SJ,SJY,SRIWIJAYA,Indonesia
Sama Airlines,ZS,SMY,NAJIM,Saudi Arabia
Singapore Airlines Cargo,SQ,SQC,SINGCARGO,Singapore
Siem Reap Airways,FT,SRH,SIEMREAP AIR,Cambodia
South East Asian Airlines,DG,SRQ,SEAIR,Philippines
Skyservice Airlines,5G,SSV,SKYTOUR,Canada
Servicios de Transportes A,FS,STU,FUEGUINO,Argentina
Sudan Airways,SD,SUD,SUDANAIR,Sudan
Saudi Arabian Airlines,SV,SVA,SAUDIA,Saudi Arabia
Southwest Airlines,WN,SWA,SOUTHWEST,United States
Southern Winds Airlines,A4,SWD,SOUTHERN WINDS,Argentina
Swiss International Air Lines,LX,SWR,SWISS,Switzerland
Swissair,SR,SWR,Swissair,Switzerland
Swe Fly,WV,SWV,FLYING SWEDE,Sweden
SunExpress,XQ,SXS,SUNEXPRESS,Turkey
Syrian Arab Airlines,RB,SYR,SYRIANAIR,Syrian Arab Republic
Skywalk Airlines,AL,SYX,SKYWAY-EX,United States
Shandong Airlines,SC,CDG,SHANDONG,China
Spring Airlines,9S,CQH,AIR SPRING,China
Sichuan Airlines,3U,CSC,SI CHUAN,China
Shanghai Airlines,FM,CSH,SHANGHAI AIR,China
Shenzhen Airlines,ZH,CSZ,SHENZHEN AIR,China
Sun D'Or,7L,ERO,ECHO ROMEO,Israel
SkyEurope,NE,ESK,RELAX,Slovakia
Spanair,JK,JKK,SPANAIR,Spain
Spirit Airlines,NK,NKS,SPIRIT WINGS,United States
SATENA,9R,NSE,SATENA,Colombia
Santa Barbara Airlines,S3,BBR,SANTA BARBARA,Venezuela
Sky Airline,H2,SKU,AEROSKY,Chile
SkyWest,OO,SKW,SKYWEST,United States
Skyways Express,JZ,SKX,SKY EXPRESS,Sweden
Skymark Airlines,BC,SKY,SKYMARK,Japan
SilkAir,MI,SLK,SILKAIR,Singapore
Surinam Airways,PY,SLM,SURINAM,Suriname
Sterling Airlines,NB,SNB,STERLING,Denmark
Skynet Asia Airways,6J,SNJ,NEWSKY,Japan
Solomon Airlines,IE,SOL,SOLOMON,Solomon Islands
Saratov Aviation Division,6W,SOV,SARATOV AIR,Russia
Sat Airlines,HZ,SOZ,SATCO,Kazakhstan
Shuttle America,S5,TCF,MERCURY,United States
Scat Air,DV,VSV,VLASTA,Kazakhstan
TAME,EQ,TAE,TAME,Ecuador
TAM Brazilian Airlines,JJ,TAM,TAM,Brazil
TAP Portugal,TP,TAP,AIR PORTUGAL,Portugal
Tunisair,TU,TAR,TUNAIR,Tunisia
Thai Air Cargo,T2,TCG,THAI CARGO,Thailand
Thomas Cook Airlines,FQ,TCW,THOMAS COOK,Belgium
Thomas Cook Airlines,MT,TCX,KESTREL,United Kingdom
Tiger Airways,TR,TGW,GO CAT,Singapore
